_id,Center,test_date,physics,chemistry,resultstatus,pp_totalmarks,Full_name,maths_new,new_total,name,Phone,Password
148,Brooklyn,2024-06-02,,,Absent,720,Alma Gelinas,0,0,Waldemar,3499435078,Wal5078
149,Brooklyn,2024-06-23,20,0,Present,720,Francis Sikes,310,330,Khem,3798036448,Khe6448
150,Brooklyn,2024-06-23,,,Absent,75,Minerva Giles,0,0,Sahr,8563833605,Sah3605
151,Brooklyn,2024-06-02,35,35,Present,720,Nikki Iskra,298,368,Ali+Scott,3281543924,Ali3924
152,Brooklyn,2024-06-02,3,60,Present,720,Lore Coil,304,367,Elisabeth,21541545,Eli1545
153,Brooklyn,2024-06-02,69,64,Present,720,Marlena Craner,211,344,Sarah,7519572896,Sar2896
154,Queens,2024-05-19,58,64,Present,360,Darius Trojacek,152,274,Fredah,8484247022,Fre7022
155,Brooklyn,2024-06-02,,,Absent,720,Sade Gasaway,0,0,Khem,9820762931,Khe2931
156,Brooklyn,2024-05-19,,,Absent,360,Sybil Rahman,0,0,Katherine,5557635777,Kat5777
157,Brooklyn,2024-06-02,53,36,Present,300,Zoraida Sumner,53,142,Ming,3798308795,Min8795
158,Manhattan,2024-06-02,101,98,Present,720,Raina Mccrae,316,515,Paula,9187426739,Pau6739
159,Brooklyn,2024-06-16,62,34,Present,300,Elsa Mcspadden,69,165,LulÃº,3694116750,Lul6750
160,Brooklyn,2024-06-02,,,Absent,720,Bernadine Chung,0,0,Obed,5641084625,Obe4625
161,Manhattan,2024-06-16,,,Absent,300,Francie Frase,0,0,Karen,9085038977,Kar8977
162,Brooklyn,2024-06-02,,,Absent,720,Mariana Vavra,0,0,Michael,8563536990,Mic6990
163,Brooklyn,2024-05-19,36,13,Present,360,Nakita Primer,141,190,White,7054122185,Whi2185
164,Brooklyn,2024-06-02,,,Absent,720,Aletha Hardesty,0,0,Paz,218135569,Paz5569
165,Manhattan,2024-05-19,38,58,Present,360,Dwain Sargeant,132,228,Irene,1871343992,Ire3992
166,Manhattan,2024-06-16,,,Absent,300,Thea Hubbs,0,0,Karene,9207392317,Kar2317
167,Brooklyn,2024-06-02,,,Absent,720,Caleb Peters,0,0,Viviana,5940104089,Viv4089
168,Manhattan,2024-06-02,,,Absent,720,Sparkle Kaestner,0,0,Sara,6440005875,Sar5875
169,Brooklyn,2024-06-02,,,Absent,720,Narcisa Hsieh,0,0,Sarah,8684150837,Sar0837
170,Manhattan,2024-06-02,,,Absent,720,Sherwood Vanalstyne,0,0,Marie,2138158049,Mar8049
171,Brooklyn,2024-06-23,,,Absent,720,Jeanice Joy,0,0,Gus,4265782396,Gus2396
172,Queens,2024-06-16,24,49,Present,300,Bert Riter,28,101,Myung,4021811172,Myu1172
173,Brooklyn,2024-05-19,,,Absent,360,Dorotha Aldinger,0,0,RenÃ©e,8032203503,Ren3503
174,Brooklyn,2024-06-02,,,Absent,720,Anisha Thomson,0,0,Henry,5141653187,Hen3187
175,Manhattan,2024-06-23,42,57,Present,720,Rufus Amerine,274,373,Sylvia,2215801638,Syl1638
176,Brooklyn,2024-06-02,,,Absent,720,Roslyn Alaimo,0,0,Syl,2681075449,Syl5449
177,Manhattan,2024-06-02,19,30,Present,720,Noelle Raybon,255,304,Lorenzo,9720639033,Lor9033
178,Brooklyn,2024-06-02,68,43,Present,720,Shanae Hanger,301,412,Waldemar,3362407744,Wal7744
179,Brooklyn,2024-06-16,26,26,Present,300,William Hopf,42,94,Annette,9756438799,Ann8799
180,Staten Island,2024-06-02,46,32,Present,720,Adolfo Bella,310,388,Newyorkroomwithaview,4495197237,New7237
181,Brooklyn,2024-06-02,,,Absent,720,Xenia Schubert,0,0,Tessa,4200384690,Tes4690
182,Bronx,2024-06-23,21,14,Present,720,Brenton Tokarski,107,142,Waundell,9893215177,Wau5177
183,Brooklyn,2024-06-02,,,Absent,720,Hal Bender,0,0,Young,4841784685,You4685
184,Manhattan,2024-06-02,25,25,Present,720,Geraldine Border,106,156,Bruce,3997650643,Bru0643
185,Manhattan,2024-05-19,47,36,Present,360,Setsuko Pardo,119,202,Coral,3801058852,Cor8852
186,Brooklyn,2024-06-23,84,32,Present,720,Meghan Sydnor,303,419,Carol,8675982022,Car2022
187,Manhattan,2024-06-23,9,13,Present,75,Lavern Gard,39,61,Sara,6819058443,Sar8443
188,Manhattan,2024-06-23,92,78,Present,720,Cyrus Beckham,340,510,Laurine,1222426114,Lau6114
189,Manhattan,2024-06-02,58,17,Present,720,Leeanne Fortunato,233,308,Myrna,4723626776,Myr6776
190,Manhattan,2024-06-23,,,Absent,720,Nilda Deyoung,0,0,Campbell,3960483440,Cam3440
191,Brooklyn,2024-06-02,,,Absent,720,Marylee Greenburg,0,0,Doug,7809587033,Dou7033
192,Queens,2024-06-02,,,Absent,720,Gay Aubert,0,0,Mark,5945043047,Mar3047
193,Manhattan,2024-06-02,,,Absent,720,Janel Carley,0,0,Rahul,2955633923,Rah3923
194,Brooklyn,2024-06-23,46,44,Present,300,Damaris Nestle,8,98,Miyoung,3823095123,Miy5123
195,Brooklyn,2024-05-19,0,-2,Present,360,Jeanine Hoerr,41,39,Monica,5209546103,Mon6103
196,Brooklyn,2024-06-23,43,37,Present,720,Wiley Scotto,239,319,Marylyn,9365940278,Mar0278
197,Brooklyn,2024-06-02,,,Absent,720,Dian Cobian,0,0,Kathleen R.,6631188444,Kat8444
198,Manhattan,2024-06-02,,,Absent,720,Brendan Zilnicki,0,0,Teresa,250996612,Ter6612
199,Brooklyn,2024-06-23,79,30,Present,720,Mana Seegmiller,321,430,Robert,858165569,Rob5569
200,Manhattan,2024-06-02,,,Absent,720,Flavia Nitta,0,0,Alex,8305053242,Ale3242
201,Manhattan,2024-06-23,,,Absent,300,Humberto Ware,0,0,Claudia,5447757209,Cla7209
202,Manhattan,2024-06-02,,,Absent,720,Ned Permenter,0,0,Shane,1750534125,Sha4125
203,Brooklyn,2024-06-23,,,Absent,720,Albertina Junkin,0,0,Laurie,4289595562,Lau5562
204,Manhattan,2024-06-02,103,112,Present,720,Rosia Duron,335,550,Jessica,7711748425,Jes8425
205,Manhattan,2024-06-23,36,27,Present,720,Kena Stallings,193,256,Erina,3637209311,Eri9311
206,Manhattan,2024-06-23,,,Absent,720,Lolita Pringle,0,0,Lee,7282021752,Lee1752
207,Queens,2024-06-02,35,24,Present,720,Kristen Gilley,131,190,Jullett,2632245237,Jul5237
208,Manhattan,2024-06-02,55,11,Present,720,Genaro Koga,200,266,Marlaine,5016520218,Mar0218
209,Brooklyn,2024-06-02,,,Absent,720,Suzanna Putman,0,0,Charlotte,4878496972,Cha6972
210,Queens,2024-06-02,59,70,Present,720,Candy Konieczny,299,428,Mark,5149807292,Mar7292
211,Queens,2024-06-23,26,2,Present,300,Ozella Conner,11,39,Mark,7698475698,Mar5698
212,Queens,2024-06-02,63,32,Present,720,Leonel Hock,284,379,Mark,467135368,Mar5368
213,Brooklyn,2024-06-16,,,Absent,75,Vannesa Millard,0,0,Bob,4533848865,Bob8865
214,Manhattan,2024-06-02,,,Absent,720,Melonie Villacorta,0,0,Anka,8670432084,Ank2084
215,Manhattan,2024-06-02,,,Absent,720,Dorine Zeitler,0,0,Douglas,9559446141,Dou6141
216,Brooklyn,2024-06-02,,,Absent,720,Bridget Conyers,0,0,Kathleen R.,2510297984,Kat7984
217,Manhattan,2024-06-23,54,6,Present,720,Jacklyn Dyment,289,349,Wayne,4540042877,Way2877
218,Bronx,2024-05-19,,,Absent,360,Felicita Maclachlan,0,0,Waundell,9073727735,Wau7735
219,Manhattan,2024-06-02,,,Absent,720,Herbert Gamache,0,0,Jenny,8534210366,Jen0366
220,Brooklyn,2024-05-19,12,50,Present,360,Antonietta Llewellyn,75,137,Paul,5975702062,Pau2062
221,Brooklyn,2024-06-23,,,Absent,720,Pennie Alling,0,0,Tami,573057435,Tam7435
222,Manhattan,2024-06-16,,,Present,75,Laree Kay,46,46,Jason,1870232605,Jas2605
223,Manhattan,2024-06-02,,,Absent,720,Antonio Navarette,0,0,Pete,7660303328,Pet3328
224,Brooklyn,2024-06-02,,,Absent,720,Steve Mainor,0,0,Gus,7114451655,Gus1655
225,Brooklyn,2024-06-16,68,66,Present,300,Gertrud Sather,38,172,Sally,279316050,Sal6050
226,Manhattan,2024-06-02,35,35,Present,720,Nan Beverley,270,340,Leonardo,4726324653,Leo4653
227,Brooklyn,2024-06-02,37,32,Present,720,Walter Belford,237,306,Alex,4577852403,Ale2403
228,Manhattan,2024-06-16,36,15,Present,300,Colby Hobart,17,68,Wayne,8531916559,Way6559
229,Queens,2024-06-02,110,152,Present,720,Patrick Nocera,345,607,Vasili,849979303,Vas9303
230,Brooklyn,2024-06-23,,,Absent,720,Hilary Modeste,0,0,S.M.,5795851992,S.M1992
231,Manhattan,2024-06-02,,,Absent,720,Elke Licht,0,0,Ori,6153855,Ori3855
232,Manhattan,2024-06-23,41,6,Present,300,Faustina Dunson,17,64,Ana,6610228533,Ana8533
233,Manhattan,2024-06-23,,,Absent,720,Tara Clingman,0,0,I,7188119257,I9257
234,Manhattan,2024-06-09,9,7,Present,75,Elva Hochmuth,21,37,R,2258068680,R8680
235,Manhattan,2024-06-23,29,33,Present,720,Opal Groover,171,233,Simon,8088325450,Sim5450
236,Manhattan,2024-06-23,0,-15,Present,720,Maryln Ferris,92,77,Agnes,3634909713,Agn9713
237,Brooklyn,2024-06-02,73,84,Present,720,Katrina Almon,331,488,Linda,2584470823,Lin0823
238,Manhattan,2024-06-16,,,Present,75,Stephane Labelle,67,67,Dave,6892070700,Dav0700
239,Manhattan,2024-06-23,93,82,Present,720,Christene Gloria,332,507,Drica,3344664736,Dri4736
240,Queens,2024-06-02,104,129,Present,720,Araceli Majewski,346,579,Mark,4345991864,Mar1864
241,Brooklyn,2024-06-02,160,137,Present,720,Marilou Funderburg,345,642,Betty,4037757886,Bet7886
242,Manhattan,2024-06-23,,,Absent,300,America Tocci,0,0,Ricardo & Ashlie,9753178486,Ric8486
243,Manhattan,2024-06-23,49,6,Present,720,Erich Ragin,246,301,Leslie,2142049969,Les9969
244,Manhattan,2024-06-02,17,28,Present,720,Neoma Pellegrino,101,146,Harrison,502772785,Har2785
245,Manhattan,2024-06-23,14,33,Present,720,Sid Lamore,280,327,Jessica,5656600917,Jes0917
246,Manhattan,2024-06-09,7,9,Present,75,Stella Morman,27,43,Blanca,6130871664,Bla1664
247,Manhattan,2024-06-23,64,48,Present,720,Ha Durrah,324,436,Wayne,8616978421,Way8421
248,Manhattan,2024-05-19,17,-9,Present,360,Chantel Absher,50,58,Cynthia,9864599029,Cyn9029
249,Manhattan,2024-06-09,12,11,Present,75,Torri Wert,27,50,Mich,5616200717,Mic0717
250,Manhattan,2024-06-02,,,Absent,720,Michelina Holscher,0,0,Rachel,6556730645,Rac0645
251,Manhattan,2024-06-02,,,Absent,720,Verlene Arviso,0,0,Laurine,7229821482,Lau1482
252,Manhattan,2024-06-02,31,53,Present,720,Lois Tew,219,303,Greta,5025980036,Gre0036
253,Manhattan,2024-06-23,26,4,Present,300,Miguelina Hoyte,17,47,Frank,2049920209,Fra0209
254,Manhattan,2024-06-02,,,Absent,720,Evelina Willaert,0,0,Bethania,9403021113,Bet1113
255,Manhattan,2024-05-19,,,Absent,360,Ranae Topp,0,0,Tunji,7046701104,Tun1104
256,Manhattan,2024-05-19,55,70,Present,360,Carolann Veasley,139,264,Anna/Fonzy,129831292,Ann1292
257,Brooklyn,2024-06-02,,,Absent,720,Jeannette Gravelle,0,0,Colette&Sean,6457216490,Col6490
258,Manhattan,2024-06-02,,,Absent,720,Lenita Slevin,0,0,Brie,9995859688,Bri9688
259,Brooklyn,2024-06-23,46,9,Present,720,Valentina Quinby,160,215,Sheila,3518200093,She0093
260,Staten Island,2024-06-02,,,Absent,720,Latoyia Bushway,0,0,Lissette,3814992120,Lis2120
261,Staten Island,2024-06-02,30,21,Present,720,Keitha Wold,264,315,Lissette,9816251270,Lis1270
262,Staten Island,2024-06-02,47,77,Present,720,Flora Plascencia,323,447,Lissette,6533143580,Lis3580
263,Manhattan,2024-06-02,43,4,Present,720,Azucena Herder,178,225,Olivia,5636697631,Oli7631
264,Manhattan,2024-05-19,49,73,Present,360,Kathi Lilienthal,136,258,Daniel,387405796,Dan5796
265,Brooklyn,2024-06-02,,,Absent,720,Andrea Saine,0,0,Maya,1791340629,May0629
266,Brooklyn,2024-05-19,45,36,Present,360,Shawna Riviera,136,217,Scott,5853398393,Sco8393
267,Staten Island,2024-06-23,,,Absent,720,Nolan Harwell,0,0,Lissette,3229687032,Lis7032
268,Queens,2024-06-02,,,Absent,720,Jennell Leverich,0,0,Dennis & Naoko,8048821430,Den1430
269,Brooklyn,2024-06-23,35,70,Present,720,Birgit Puente,345,450,AntonÃ­n,93500513,Ant0513
270,Brooklyn,2024-05-19,45,41,Present,360,Gerry Medal,79,165,Emily,4477999059,Emi9059
271,Bronx,2024-06-02,,,Absent,720,Palma Sample,0,0,Carol Gloria,8067677951,Car7951
272,Bronx,2024-05-19,68,70,Present,360,Annalisa Rotolo,157,295,Vie,6766828579,Vie8579
273,Brooklyn,2024-06-02,73,62,Present,300,Eilene Jolly,66,201,RenÃ©e,7354307243,Ren7243
274,Manhattan,2024-06-16,42,59,Present,300,Kathey Keep,70,171,Olivia,467516009,Oli6009
